Marca temporal;Vives en Ate -Vitarte;Genero;¿Cual es tu edad?;¿Cual es su nivel de instrucción?;  ¿Cuál es el ingreso mensual aproximado de su hogar?  ;"Número de personas en su hogar:
";7. ¿Con qué frecuencia realiza compras de alimentos?;"8. ¿Dónde realiza con mayor frecuencia sus compras de productos de primera necesidad?
";"9. ¿Qué factores considera más importantes al momento de elegir dónde comprar alimentos?
";"10. ¿Cuánto gasta aproximadamente en cada compra de alimentos?
";"11. ¿A qué hora suele realizar sus compras?
";12. ¿Cree que los precios de los productos de primera necesidad han subido en los últimos años? ;13. ¿Considera que los mercados tradicionales ofrecen mejores precios que los supermercados?;14. ¿Cuál de los siguientes productos considera más caro en el supermercado en comparación con el mercado? Puede seleccionar varias;15. ¿Cree que los supermercados ofrecen mayor calidad que los mercados tradicionales?;16. ¿Qué tipo de establecimiento recomendaría a una familia con presupuesto limitado?;17. ¿Cuál es su principal motivación al comprar en un supermercado? Puede seleccionar varias ;18. ¿Cuál es su principal motivación al comprar en un mercado tradicional?;2. Genero;¿Cuál es tu edad?;3. ¿Cuál es tu edad?;4. ¿Cuál es su nivel de instrucción?;5.  ¿Cuál es el ingreso mensual aproximado de su hogar?  ;6. Número de personas en su hogar:;1. Vives en Ate -Vitarte
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras, ;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Atención al cliente/seguridad;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/9/2025 10:22:03;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Promociones/ofertas;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Pollo, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:28:56;si;Femenino;18-25;Universitario;2000-3500;( ) 4–5;Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Aceite;Neutro;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores;;;;;;;
6/9/2025 10:29:59;si;Femenino;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;Ocasionalmente;Ambos;Variedad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Arroz, Frutas y verduras;Totalmente de acuerdo;Ambos;Variedad de productos, Ofertas/promociones;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:35:42;si;Masculino;18-25;Universitario;Menos de S/ 1,000;( ) 2–3;Ocasionalmente;Supermercado;Calidad;Menos de S/ 150;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras;Neutro;Ambos;Ofertas/promociones;Precios bajos;;;;;;;
6/9/2025 10:36:51;si;Femenino;18-25;Universitario;3500-5000;( ) 4–5;Muy Frecuentemente;Supermercado;Precio, Variedad, Calidad, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pan, Pollo;De acuerdo;Ambos;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Precios bajos, Productos frescos, Apoyo a la economía local;;;;;;;
6/9/2025 10:37:19;si;Femenino;18-25;Universitario;3500-5000;( ) 4–5;Ocasionalmente;Supermercado;Precio, Variedad, Calidad;Más de S/ 350;( ) Varía;De acuerdo;De acuerdo;Pollo;De acuerdo;Mercado tradicional;Variedad de productos, Ofertas/promociones;Precios bajos, Productos frescos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;Mas de 5000;( ) Más de 5;Frecuentemente;Ambos;Precio, Calidad, Cercanía;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Frutas y verduras;Totalmente de acuerdo;Supermercado;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Productos frescos, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Mas de 5000;( ) Más de 5;Ocasionalmente;Ambos;Precio, Variedad, Calidad, Promociones/ofertas;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Aceite, Pollo, Arroz;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Preferencia personal;Productos frescos, Trato directo con vendedores, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Primaria incompleta/completa;Menos de S/ 1,000;( ) 1;Ocasionalmente;Supermercado;Calidad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);Neutro;De acuerdo;Aceite;Totalmente de acuerdo;Mercado tradicional;Ofertas/promociones;Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Secundaria incompleta/completa;Menos de S/ 1,000;( ) 2–3;Ocasionalmente;Ambos;Precio, Variedad, Calidad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;De acuerdo;Aceite, Pollo;Neutro;Mercado tradicional;Mayor limpieza y orden;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Secundaria incompleta/completa;Mas de 5000;( ) 2–3;Ocasionalmente;Ambos;Precio, Calidad;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;Neutro;Pollo, Arroz;Neutro;Ambos;Mayor limpieza y orden;Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Técnico;1000-2000;( ) Más de 5;Muy Frecuentemente;Supermercado;Precio;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Frutas y verduras;Totalmente de acuerdo;Ambos;Variedad de productos;Precios bajos;;;;;;;
6/9/2025 10:20:16;si;Masculino;26-35;Universitario;2000-3500;( ) Más de 5;Muy Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;2000-3500;( ) 2–3;Ocasionalmente;Ambos;Cercanía;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Neutro;Aceite, Pollo;En desacuerdo;Mercado tradicional;Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Trato directo con vendedores;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Técnico;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Calidad;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;Totalmente de acuerdo;Frutas y verduras;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;1000-2000;( ) 4–5;Ocasionalmente;Ambos;Precio, Calidad, Promociones/ofertas;Menos de S/ 150;( ) Varía;En desacuerdo;De acuerdo;Pollo;Neutro;Ambos;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Técnico;3500-5000;( ) 4–5;Frecuentemente;Supermercado;Precio, Calidad, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Pollo;Totalmente de acuerdo;Ambos;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Masculino;26-35;Técnico;3500-5000;( ) 2–3;Ocasionalmente;Mercado tradicional;Precio;S/ 150 – S/ 250;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Aceite, ;Neutro;Ambos;Mayor limpieza y orden;Precios bajos, Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;Menos de S/ 1,000;( ) Más de 5;Muy Frecuentemente;Ambos;Precio, Calidad, Cercanía, Promociones/ofertas;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Pollo;Neutro;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;1000-2000;( ) 1;Frecuentemente;Supermercado;Calidad;Menos de S/ 150;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;De acuerdo;Pollo;De acuerdo;Ambos;Preferencia personal;Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Supermercado;Calidad;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Frutas y verduras;Neutro;Mercado tradicional;Variedad de productos;Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;1000-2000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Precio, Calidad, Atención al cliente;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;Raramente;Mercado tradicional;Precio, Variedad, Calidad, Promociones/ofertas;Menos de S/ 150;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;Neutro;Pan, Aceite, Pollo, Arroz;Neutro;Ambos;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;26-35;Posgrado;3500-5000;( ) 4–5;Ocasionalmente;Supermercado;Precio, Calidad, Promociones/ofertas;S/ 150 – S/ 250;( ) Varía;Neutro;Neutro;Pan, Pollo, Frutas y verduras;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Productos frescos, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Masculino;36-45;Universitario;2000-3500;( ) 2–3;Frecuentemente;Ambos;Calidad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Arroz, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;Mas de 60;Posgrado;Mas de 5000;( ) Más de 5;Muy Frecuentemente;Supermercado;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas, ;Más de S/ 350;( ) Varía;Totalmente en desacuerdo;De acuerdo;Pollo;En desacuerdo;Mercado tradicional;Ofertas/promociones;Cercanía a su hogar, ;;;;;;;
6/9/2025 10:20:16;si;Femenino;36-45;Secundaria incompleta/completa;1000-2000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Calidad;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden;Productos frescos, Trato directo con vendedores, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Masculino;26-35;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía, Atención al cliente;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;De acuerdo;Pan, Aceite, Pollo, Arroz, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Ambos;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Secundaria incompleta/completa;2000-3500;( ) 2–3;Frecuentemente;Supermercado;Variedad, Calidad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;2000-3500;( ) 4–5;Muy Frecuentemente;Ambos;Precio, Variedad, Calidad, Cercanía;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;1000-2000;( ) Más de 5;Ocasionalmente;Ambos;Precio, Calidad, Promociones/ofertas;Menos de S/ 150;( ) Varía;Totalmente de acuerdo;De acuerdo;Aceite, Pollo;De acuerdo;Mercado tradicional;Ofertas/promociones;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Femenino;46-60;Secundaria incompleta/completa;2000-3500;( ) 4–5;Frecuentemente;Mercado tradicional;Calidad;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Pollo, Arroz, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;2000-3500;( ) 2–3;Frecuentemente;Ambos;Precio, Calidad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Pollo, Huevo;Neutro;Mercado tradicional;Variedad de productos, Ofertas/promociones;Precios bajos, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Femenino;26-35;Técnico;1000-2000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Precio;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;De acuerdo;Aceite, Arroz;De acuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos;;;;;;;
6/9/2025 10:20:16;no;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Secundaria incompleta/completa;2000-3500;( ) 4–5;Frecuentemente;Ambos;Precio, Calidad, Atención al cliente;Menos de S/ 150;( ) Varía;De acuerdo;Neutro;Pan;Neutro;Ambos;Mayor limpieza y orden, Variedad de productos;Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Mas de 5000;( ) 4–5;Frecuentemente;Ambos;Variedad, Calidad;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;Neutro;Frutas y verduras;Totalmente de acuerdo;Mercado tradicional;Preferencia personal;Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;2000-3500;( ) Más de 5;Muy Frecuentemente;Ambos;Precio, Variedad, Calidad, Cercanía, Promociones/ofertas;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Neutro;Aceite, Pollo, Frutas y verduras;Neutro;Mercado tradicional;Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Femenino;46-60;Universitario;2000-3500;( ) 2–3;Frecuentemente;Ambos;Precio, Calidad, Cercanía;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Pan, Pollo, Frutas y verduras;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Secundaria incompleta/completa;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Variedad;Menos de S/ 150;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Pan, Frutas y verduras, ;En desacuerdo;Mercado tradicional;Ofertas/promociones, ;Productos frescos, Trato directo con vendedores, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Secundaria incompleta/completa;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Precio, Variedad, Calidad;Menos de S/ 150;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;De acuerdo;Pan;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Masculino;Mas de 60;Primaria incompleta/completa;Menos de S/ 1,000;( ) 1;Raramente;Mercado tradicional;Precio;Menos de S/ 150;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Aceite;Neutro;Mercado tradicional;Atención al cliente/seguridad;Precios bajos;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;2000-3500;( ) 1;Muy Frecuentemente;Supermercado;Promociones/ofertas;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;Neutro;Pollo;Neutro;Supermercado;Mayor limpieza y orden;Productos frescos;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Pollo, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Trato directo con vendedores;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;2000-3500;( ) 4–5;Muy Frecuentemente;Ambos;Precio, Calidad, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;De acuerdo;Pollo;Neutro;Mercado tradicional;Mayor limpieza y orden, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;46-60;Secundaria incompleta/completa;2000-3500;( ) 2–3;Frecuentemente;Ambos;Precio, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Pan, Aceite, Pollo, Arroz, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;no;;;¿Cual es su nivel de instrucción?;;;;;;;;;;;;;;;;;;;;;
