Marca temporal;Vives en Ate -Vitarte;Genero;¿Cual es tu edad?;¿Cual es su nivel de instrucción?;  ¿Cuál es el ingreso mensual aproximado de su hogar?  ;"Número de personas en su hogar:
6/10/2025 5:58:00;si;Femenino;46-60;Técnico;Menos de S/ 1,000;( ) 4–5;Frecuentemente;Supermercado;Calidad, Cercanía;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;De acuerdo;Pollo, Arroz;De acuerdo;Mercado tradicional;Variedad de productos, Preferencia personal;Productos frescos;;;;;;;
6/10/2025 6:00:18;si;Femenino;Mas de 60;Posgrado;Mas de 5000;( ) Más de 5;Muy Frecuentemente;tambo;Calidad;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;atún;Neutro;Supermercado;Mayor limpieza y orden, Ofertas/promociones;Apoyo a la economía local, comprar pescado fresco;;;;;;;
6/10/2025 6:01:36;si;Masculino;36-45;Universitario;3500-5000;( ) 4–5;Frecuentemente;Supermercado;Calidad, Cercanía;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);En desacuerdo;Totalmente de acuerdo;Pollo;De acuerdo;Mercado tradicional;Preferencia personal;Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/10/2025 6:02:45;si;Femenino;26-35;Técnico;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Precio, Variedad;Menos de S/ 150;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;En desacuerdo;Pan, Arroz;De acuerdo;Ninguno;que tienen yape;que me regalan la yapa;;;;;;;
6/10/2025 6:05:26;si;Femenino;26-35;Secundaria incompleta/completa;1000-2000;( ) Más de 5;Frecuentemente;Ambos;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Varía;Neutro;De acuerdo;Pan, Aceite, Pollo, Arroz, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/10/2025 6:06:45;si;Masculino;36-45;Primaria incompleta/completa;Menos de S/ 1,000;( ) 1;Raramente;Mercado tradicional;Precio;Menos de S/ 150;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Pollo, Arroz, Frutas y verduras;En desacuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/10/2025 6:08:59;si;Masculino;36-45;Secundaria incompleta/completa;2000-3500;( ) 2–3;Frecuentemente;Ambos;Precio, Variedad, Calidad, Cercanía, Atención al cliente;S/ 250 – S/ 350;( ) Noche (6 p.m. – 9 p.m.);Totalmente en desacuerdo;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras, queso;De acuerdo;Ninguno;Variedad de productos, Ofertas/promociones, tienen yape;Precios bajos, Cercanía a su hogar, comprar queso fresco de ate;;;;;;;
6/10/2025 6:11:05;si;Femenino;26-35;Técnico;3500-5000;( ) 4–5;Raramente;delivery;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras, leche;Neutro;Ninguno;tienen yape o plin;Apoyo a la economía local;;;;;;;
6/10/2025 6:12:51;si;Femenino;18-25;Posgrado;Mas de 5000;( ) 1;Muy Frecuentemente;Ambos;Precio, Variedad, Calidad, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Neutro;De acuerdo;Pan, Aceite, Pollo, Arroz, Frutas y verduras, chocolates;Totalmente de acuerdo;Supermercado;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad, pago con tarjetas de crédito;Precios bajos, Productos frescos, Cercanía a su hogar;;;;;;;
6/10/2025 6:14:52;si;Femenino;26-35;Universitario;3500-5000;( ) 2–3;Ocasionalmente;Mercado tradicional;Promociones/ofertas;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);En desacuerdo;En desacuerdo;Pollo;Totalmente en desacuerdo;Ninguno;Preferencia personal;Trato directo con vendedores;;;;;;;
6/10/2025 6:16:59;si;Femenino;26-35;Técnico;1000-2000;( ) 1;Frecuentemente;tambo;Precio, la yapa;Menos de S/ 150;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Pan;Totalmente de acuerdo;Supermercado;Mayor limpieza y orden;Precios bajos;;;;;;;
6/10/2025 6:41:22;si;Masculino;26-35;Secundaria incompleta/completa;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Calidad, Cercanía;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;Neutro;Pollo, Arroz;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Productos frescos, Cercanía a su hogar;;;;;;;
6/10/2025 6:42:04;si;Masculino;36-45;Secundaria incompleta/completa;2000-3500;( ) 2–3;Muy Frecuentemente;Supermercado;Variedad;S/ 250 – S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pollo;Neutro;Mercado tradicional;Preferencia personal;Apoyo a la economía local;;;;;;;
6/10/2025 6:43:56;si;Masculino;36-45;Técnico;2000-3500;( ) 4–5;Frecuentemente;Supermercado;Cercanía, Atención al cliente;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;Totalmente de acuerdo;Aceite, Pollo;Neutro;Ambos;Variedad de productos, Ofertas/promociones;Productos frescos, Trato directo con vendedores;;;;;;;
6/10/2025 6:44:25;si;Masculino;36-45;Secundaria incompleta/completa;1000-2000;( ) 1;Frecuentemente;Supermercado;Calidad, Atención al cliente;S/ 150 – S/ 250;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;De acuerdo;Aceite, Pollo;De acuerdo;Mercado tradicional;Ofertas/promociones, Preferencia personal;Trato directo con vendedores;;;;;;;
6/11/2025 6:23:55;no;;;;;;;;;;;;;;;;;;;;;;;;
6/11/2025 13:21:25;si;Masculino;18-25;Universitario;3500-5000;( ) 4–5;Raramente;Supermercado;Precio, Cercanía;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Frutas y verduras;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Cercanía a su hogar;;;;;;;
6/11/2025 14:42:48;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Supermercado;Calidad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;De acuerdo;Pollo, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden;Productos frescos;;;;;;;
6/16/2025 11:29:37;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Variedad, Calidad, Atención al cliente;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;De acuerdo;Pan, Aceite, Pollo, Arroz;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores;Femenino;;26-35;Posgrado;3500-5000;( ) 2–3;
6/16/2025 13:07:39;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Mercado tradicional;Precio, Calidad;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;Neutro;Pollo;De acuerdo;Supermercado;Variedad de productos, Ofertas/promociones;Precios bajos, Cercanía a su hogar;Femenino;;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;si
6/16/2025 13:54:43;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Ambos;Precio, Calidad, Cercanía, Promociones/ofertas;S/ 250 – S/ 350;( ) Noche (6 p.m. – 9 p.m.);De acuerdo;Neutro;Pollo;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos;Masculino;;18-25;Universitario;Mas de 5000;( ) Más de 5;no
6/16/2025 15:58:09;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Ambos;Precio, Calidad;S/ 250 – S/ 350;( ) Varía;De acuerdo;De acuerdo;Pollo;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Productos frescos;Masculino;;18-25;Secundaria incompleta/completa;3500-5000;( ) 4–5;si
6/17/2025 13:55:35;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Mercado tradicional;Variedad, Calidad, Cercanía, Atención al cliente;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;Neutro;Aceite, Pollo, Arroz, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones;Trato directo con vendedores;Femenino;;18-25;Universitario;1000-2000;( ) 4–5;no
6/30/2025 9:13:41;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Variedad, Calidad, Cercanía, Atención al cliente;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;De acuerdo;Aceite, Pollo, Arroz, Frutas y verduras;Totalmente de acuerdo;Mercado tradicional;Ofertas/promociones, Preferencia personal;Precios bajos;Femenino;;46-60;Posgrado;Mas de 5000;( ) Más de 5;si
6/30/2025 12:26:19;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Ambos;Precio, Calidad;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;De acuerdo;Pollo, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Preferencia personal;Precios bajos, Productos frescos, Apoyo a la economía local;Femenino;;18-25;Secundaria incompleta/completa;Mas de 5000;( ) 4–5;si
6/30/2025 13:09:03;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Calidad, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Neutro;Neutro;Pan, Frutas y verduras;De acuerdo;Ambos;Ofertas/promociones, ;Precios bajos;Femenino;;18-25;Universitario;3500-5000;( ) Más de 5;si
6/30/2025 13:35:50;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Mercado tradicional;Precio;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pollo;Neutro;Ambos;Mayor limpieza y orden, Variedad de productos;Trato directo con vendedores;Femenino;;18-25;Secundaria incompleta/completa;Menos de S/ 1,000;( ) 4–5;si
6/30/2025 18:19:23;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Ambos;Calidad, Cercanía, Atención al cliente;S/ 250 – S/ 350;( ) Varía;De acuerdo;De acuerdo;Aceite, Pollo, Arroz, Frutas y verduras, Alimentos procesados ;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Trato directo con vendedores, Cercanía a su hogar;Masculino;;36-45;Secundaria incompleta/completa;3500-5000;( ) 4–5;si
7/2/2025 16:57:20;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Variedad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);Neutro;En desacuerdo;Pan, Pollo, Arroz;Totalmente de acuerdo;Ambos;Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Productos frescos, Trato directo con vendedores, Cercanía a su hogar;Masculino;;18-25;Universitario;1000-2000;1;no
7/2/2025 17:04:37;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Ambos;Calidad, Cercanía, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Pollo, Frutas y verduras;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Productos frescos, Trato directo con vendedores;Masculino;;18-25;Universitario;3500-5000;1;si
7/2/2025 17:08:09;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Muy Frecuentemente;Ambos;Variedad, Calidad, Cercanía;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Pollo, Arroz;Neutro;Ambos;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;Femenino;;36-45;Técnico;Mas de 5000;( ) 4–5;si
7/2/2025 17:18:47;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Raramente;Supermercado;Precio;Más de S/ 350;( ) Varía;De acuerdo;Totalmente de acuerdo;Pollo, Frutas y verduras;Neutro;Ambos;Mayor limpieza y orden, Variedad de productos, Atención al cliente/seguridad;Precios bajos, Productos frescos, Cercanía a su hogar, Apoyo a la economía local;Masculino;;36-45;Técnico;3500-5000;( ) 2–3;no
7/2/2025 17:33:05;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Cercanía;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Totalmente de acuerdo;De acuerdo;Pollo, Frutas y verduras;Neutro;Ambos;Mayor limpieza y orden, Ofertas/promociones;Precios bajos;Femenino;;36-45;Técnico;Mas de 5000;( ) 4–5;si
7/2/2025 17:38:43;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Precio, Calidad, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Pan;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones, Preferencia personal;Productos frescos;Masculino;;26-35;Técnico;1000-2000;1;si
7/2/2025 17:40:00;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Ambos;Precio, Variedad, Cercanía;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);De acuerdo;De acuerdo;Pollo;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Productos frescos, Trato directo con vendedores, Apoyo a la economía local;Femenino;;26-35;Primeria completa/completa;1000-2000;( ) 4–5;si
7/2/2025 18:05:20;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Variedad, Cercanía, Atención al cliente;Más de S/ 350;( ) Varía;Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Pollo, Frutas y verduras;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Apoyo a la economía local;Femenino;;36-45;Universitario;Mas de 5000;1;si
7/2/2025 18:28:49;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Raramente;Supermercado;Promociones/ofertas;S/ 250 – S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;En desacuerdo;Aceite, Pollo, Arroz;De acuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;Masculino;;26-35;Técnico;3500-5000;( ) Más de 5;si
7/2/2025 18:29:44;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Supermercado;Calidad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);Neutro;Neutro;Aceite, Pollo, Arroz;En desacuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;Masculino;;26-35;Técnico;3500-5000;1;si
7/2/2025 18:50:55;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Ambos;Precio, Variedad, Calidad, Cercanía, Atención al cliente;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;En desacuerdo;Aceite, Pollo, Arroz;De acuerdo;Ambos;Mayor limpieza y orden, Variedad de productos, Atención al cliente/seguridad;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;Masculino;;18-25;Técnico;1000-2000;1;si
7/2/2025 19:09:11;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Supermercado;Variedad, Calidad, Cercanía;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Aceite, Pollo, Arroz;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;Masculino;;18-25;Primeria completa/completa;Menos de S/ 1,000;1;si
7/2/2025 19:25:12;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Supermercado;Precio, Variedad, Calidad;Más de S/ 350;( ) Varía;De acuerdo;De acuerdo;Aceite, Pollo, Arroz;De acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores;Masculino;;36-45;Posgrado;Mas de 5000;( ) 2–3;si
7/2/2025 19:26:59;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Muy Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía, Atención al cliente;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Aceite, Pollo, Arroz;En desacuerdo;Ambos;Mayor limpieza y orden;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local, ;Masculino;;26-35;Técnico;3500-5000;( ) 2–3;si
7/2/2025 19:33:26;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Precio, Calidad, Cercanía;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Aceite, Arroz;Totalmente de acuerdo;Ambos;Variedad de productos, Ofertas/promociones, Preferencia personal;Productos frescos, Trato directo con vendedores, Cercanía a su hogar;Masculino;;18-25;Primeria completa/completa;1000-2000;( ) 2–3;si
7/2/2025 19:37:32;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Supermercado;Precio, Calidad, Atención al cliente;Más de S/ 350;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Aceite, Pollo;Neutro;Mercado tradicional;Variedad de productos, Preferencia personal;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;Masculino;;18-25;Primeria completa/completa;3500-5000;( ) 2–3;si
7/2/2025 19:53:41;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Variedad, Cercanía;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Pollo, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;Masculino;;36-45;Primeria completa/completa;1000-2000;1;si
7/2/2025 19:56:52;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Ocasionalmente;Mercado tradicional;Precio, Variedad, Calidad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Neutro;Aceite, Frutas y verduras;De acuerdo;Mercado tradicional;Mayor limpieza y orden;Precios bajos;Masculino;;18-25;Universitario;1000-2000;( ) 2–3;si
7/2/2025 19:58:28;si;Femenino;18-25;Universitario;1000-2000;( ) 2–3;Frecuentemente;Mercado tradicional;Precio, Cercanía;Menos de S/ 150;( ) Mañana (6 a.m. – 12 p.m.);Neutro;Totalmente de acuerdo;Pan;Totalmente de acuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar;Masculino;;18-25;Universitario;Menos de S/ 1,000;1;si
